Qty,Reference,Vendor P/N
15,J3 J6 J8,277-1583-ND
5,J7,277-1591-ND
5,J2,WM1896TR-ND
5,J5,1720430202-ND
20,F2-5,507-1797-1-ND
5,J1,3M9447-ND
5,J4,609-3221-ND
80,D6 D8-22,1N4148WS-FDICT-ND
20,Q1 Q3-4 Q7,2N7002NTR-ND
40,Q17-24,785-1607-1-ND
5,U3,785-1644-1-ND
15,D1-2 D7,B360A-FDICT-ND
40,U6-13,BTN8962TAAUMA1INCT-ND
250,C1 C5 C9 C11-12 C14 C20-28 C37-38 C40 C42-43 C52-61,490-10697-1-ND
100,C44-51,490-6316-1-ND
100,C2-4 C6 C8 C13,490-10024-1-ND
10,C10,445-7660-1-ND
100,C16 C18 C39 C41,490-5961-1-ND
100,C7 C17 C19,490-5528-1-ND
100,C29-36,490-6544-1-ND
100,T1-8,240-2502-1-ND
100,R109-116,CSRF1206FT5L00TR-ND
50,Q9-16,DMN2400UV-7DICT-ND
15,SW1-3,450-1140-ND
5,F1,F5197-ND
5,U4,MC74HC595ADTR2GOSCT-ND
5,U14,296-12602-1-ND
50,U16-23,296-40129-1-ND
25,Q25-28,IRF7509CT-ND
25,D3-5,754-1121-1-ND
5,U24,296-10665-1-ND
10,U5 U15,296-9545-1-ND
5,U2,576-4864-1-ND
5,L1,587-3448-1-ND
100,R7 R12 R17 R23 R36 R94 R101 R106 R117-120 R137-140,P100KLCT-ND
100,R32,P100LCT-ND
500,R2-6 R8-11 R13-14 R16 R19-22 R25 R30 R35 R38-70 R73-80 R82 R96 R99 R102 R105 R108 R141-142,P10.0KLCT-ND
100,R26-28,P120JCT-ND
100,R121-136,P0.0JCT-ND
25,R33 R71 R97 R103,P17252CT-ND
100,R1 R37 R92 R95 R100 R107,P1.00KLCT-ND
100,R18,P200KLCT-ND
100,R34 R72 R98 R104,P4.22KLCT-ND
100,R24,P40.2KLCT-ND
100,R31,P402KLCT-ND
100,R29,P53.6KLCT-ND
100,R93,P6.98KLCT-ND
100,R81,P8.20KLCT-ND
100,R15,P910KLCT-ND
100,R83,P91.0KLCT-ND
5,C15,478-10014-ND
5,L2,SRR1210-100MCT-ND
25,Q2 Q5-6 Q8,MMBT3904FSCT-ND
50,,AE10794-ND
50,,36-4707-ND
50,,36-29300-ND
10,,F4203-ND
10,,1175-1421-ND
